"omega","sc_xx_re","sc_xx_im","cs_xx_re","cs_xx_im","sc_xy_re","sc_xy_im","cs_yx_re","cs_yx_im"
-3.,-9.921891115319908e-13,7.437024230592979e-14,1.0976476530588631e-12,-7.991780100083296e-14,-0.00887469073979878,-0.007840021298078433,0.0088746907397399,0.007840021298108752
-2.976470588235294,-4.778150752346709e-12,1.561967330557517e-13,4.7509072957856e-12,-1.6130488116095959e-13,-0.009006745744850006,-0.008883977877472683,0.009006745744948435,0.00888397787748993
-2.9529411764705884,1.2171673334559851e-12,1.0309670960726012e-13,-1.2347437570437973e-12,-5.1960302231469406e-14,-0.009145420466776459,-0.01014478481845586,0.009145420466648152,0.010144784818474233
-2.929411764705882,-2.654039961759621e-13,-9.886738268144285e-16,2.320087913591192e-13,5.316868135313148e-14,-0.009244234916194288,-0.011700173530875543,0.009244234916131891,0.01170017353083303
-2.9058823529411764,1.740065935193394e-13,-4.018409842763532e-13,-2.1355354659191653e-13,4.807151851266598e-13,-0.00920820709948313,-0.013640265225069368,0.00920820709961847,0.013640265225047398
-2.8823529411764706,-6.389029974169683e-13,8.96397602978415e-14,5.870525478329228e-13,-1.258911339477039e-13,-0.00886766545729387,-0.016040457779487035,0.00886766545729299,0.0160404577793629
-2.8588235294117648,-1.718095405708629e-12,-2.8122277740499297e-13,1.6082427582848035e-12,3.2516383637452313e-13,-0.007971791123175101,-0.018902580162195034,0.007971791123270892,0.018902580162107153
-2.835294117647059,-2.7463161855956345e-12,2.2234175838582257e-13,2.8640782236339753e-12,-3.866813189318653e-13,-0.00624279578681075,-0.022091118859546253,0.006242795786790537,0.02209111885925756
-2.8117647058823527,-6.186901102909845e-13,-1.4491761248151044e-12,4.842304698442222e-13,1.2312284723262347e-12,-0.003474419622582851,-0.025344313708744244,0.003474419622894833,0.025344313708558813
-2.788235294117647,-1.4474184824563232e-12,2.43433466691197e-13,1.5168453556281808e-12,-3.691048953440533e-13,0.0004439093627245506,-0.02836506774597611,-0.0004439093625672416,0.028365067745889108
-2.764705882352941,-9.614303702533197e-13,1.0167961045549276e-12,9.56157443176976e-13,-1.2206826181735475e-12,0.005612347978276726,-0.030844237424455277,-0.005612347978086022,0.030844237424553705
-2.7411764705882353,-7.469980024820126e-14,-1.5414523486511176e-12,2.1575059954039303e-13,1.246168432375875e-12,0.01216638329688348,-0.03233279639265479,-0.012166383296991575,0.03233279639280419
-2.7176470588235295,-5.993560443443913e-13,-3.785082819635327e-12,6.279177326745859e-13,4.0671844182197106e-12,0.020126764211720813,-0.03205000993208504,-0.020126764211705873,0.032050009931962886
-2.6941176470588237,1.0075684821713264e-12,6.468123880314839e-13,-9.275957548467816e-13,-5.932042960886571e-13,0.028960784933051487,-0.0288410625021507,-0.02896078493317452,0.028841062502235948
-2.6705882352941175,7.452403601232314e-13,1.6820637373536142e-12,-7.100875129476072e-13,-1.8209174836973296e-12,0.03699193128421472,-0.02171755948597766,-0.036991931284226585,0.021717559486131452
-2.6470588235294117,-7.032766488073301e-13,4.41607642643778e-12,7.705064690307112e-13,-4.044335067555555e-12,0.04157813458105106,-0.011217165015491918,-0.04157813458107413,0.011217165015621984
-2.623529411764706,-2.437630246334685e-13,5.467146556988942e-12,1.7565438323069677e-13,-5.700034169527451e-12,0.0410474297475615,-0.00010664327127004019,-0.041047429747589737,0.00010664327169626847
-2.6,1.1812180545865384e-12,3.783325177276546e-12,-9.4492500997789e-13,-3.5680139883258483e-12,0.036407112911018086,0.008523644070143156,-0.036407112911210134,-0.00852364406996827
-2.5764705882352943,4.848346594050533e-13,-2.364028972560722e-13,-4.454524853036119e-13,4.394105896953015e-14,0.03013323815477078,0.013502963461199535,-0.030133238155013717,-0.013502963461069469
-2.552941176470588,-9.374824931149258e-13,-1.15125574500169e-13,1.2439713794273986e-12,3.3395204816842914e-13,0.024166375316152615,0.015324833759399187,-0.024166375316152615,-0.015324833759387762
-2.5294117647058822,3.444979023211164e-13,1.662729671407021e-12,-1.2742907101163744e-13,-1.7980681330331738e-12,0.01952141786103819,0.01491200334034759,-0.019521417861089164,-0.014912003340486445
-2.5058823529411764,-4.16077887382481e-12,-8.788211793906031e-13,4.2807379648116275e-12,8.085154850393548e-13,0.016782501042429485,0.013139139478660362,-0.016782501042565266,-0.01313913947855666
-2.4823529411764707,-1.1969544463300014e-12,1.295382418421749e-12,1.385900999898981e-12,-1.4096291717425273e-12,0.016360172970095562,0.011026716320028671,-0.016360172969846855,-0.011026716319819512
-2.458823529411765,-8.740755450218938e-12,-1.0194325680930995e-13,8.68714735827611e-12,3.480131870386788e-13,0.018196478440318613,0.009907878198425871,-0.01819647844030719,-0.009907878198496178
-2.4352941176470586,-1.6873366644299577e-13,6.582370633635617e-13,-1.441266734200589e-13,-7.874237767339803e-13,0.021393230959243014,0.010991207466746077,-0.021393230958861604,-0.010991207466667862
-2.411764705882353,1.7137012998116759e-12,2.5143073942365154e-12,-1.7980681330331738e-12,-2.600431869816794e-12,0.024556767865876513,0.01472346012640522,-0.02455676786593979,-0.01472346012645004
-2.388235294117647,2.4114853162478148e-12,2.075336215130909e-12,-2.3394219795377853e-12,-1.9593318194513493e-12,0.02644337165508376,0.020893701569361177,-0.026443371655101335,-0.020893701569362055
-2.364705882352941,3.9213001024408706e-12,4.0288458442687955e-13,-3.7385052971276255e-12,-4.135677543888466e-13,0.02592250036262732,0.02904207051432123,-0.025922500362790785,-0.029042070514330103
