"x","y","(b)sx","(b)sy","(b)sz","(c)sx","(c)sy","(c)sz"
-3.455751918948773,-3.455751918948773,0.003999425766588482,0.003999425843541886,0.006601372847595727,0.008254993057760035,0.008254958404333716,1.0389531440030408e-9
-3.455751918948773,-3.346045508823415,0.002388095055635798,0.003734308463847703,0.00602066961703223,0.006527251757601719,0.007501196766666094,9.403423699427815e-10
-3.455751918948773,-3.236339098698057,0.001049911149687379,0.0035775436865637324,0.00569597645364237,0.005268830248243715,0.007062092790463012,8.887809689606119e-10
-3.455751918948773,-3.126632688572699,-0.00016340005869841686,0.0035353389276628956,0.005610738700948659,0.004367278450510133,0.006925987037623327,8.816815454809612e-10
-3.455751918948773,-3.0169262784473414,-0.0013963436784728452,0.0036090917781561437,0.005760282093826325,0.00373042148855009,0.007091001192640185,9.190909014758497e-10
-3.455751918948773,-2.9072198683219836,-0.0027940919185996146,0.0037962844500554374,0.006152715744636482,0.0032862734245954917,0.007567338103207626,1.0039107331896724e-9
-3.455751918948773,-2.7975134581966254,-0.004506326208177365,0.004088929736741164,0.0068073399399795585,0.0029803210663777576,0.00837573167969924,1.141648909089299e-9
-3.455751918948773,-2.6878070480712677,-0.006686145128378668,0.004469832998462464,0.007750318967360635,0.0027721395015098942,0.009541815492488046,1.3396098995713257e-9
-3.455751918948773,-2.57810063794591,-0.009479941825865229,0.00490746995138458,0.009007186882891025,0.0026325219225316943,0.011086124802344029,1.6053712916311302e-9
-3.455751918948773,-2.468394227820552,-0.013005282211860177,0.0053510353408887535,0.01059202721382332,0.002541654038916351,0.013009963762975757,1.944434316683563e-9
-3.455751918948773,-2.358687817695194,-0.017316689800696578,0.0057280481371609964,0.012494080531037496,0.0024883064487101992,0.015278670620640554,2.3571286606599573e-9
-3.455751918948773,-2.248981407569836,-0.02236425685248326,0.005947350063188329,0.014664011538910983,0.0024695174727662013,0.017805744833631617,2.8352011623850037e-9
-3.455751918948773,-2.1392749974444785,-0.027956248694470196,0.00590976006230532,0.017003646028233805,0.0024898541302654544,0.020443178095675207,3.3589452261284514e-9
-3.455751918948773,-2.0295685873191207,-0.033741726874688516,0.005526585411004998,0.019363839726763366,0.002559254487607335,0.02298400824304333,3.896040073891882e-9
-3.455751918948773,-1.9198621771937627,-0.03922904496199224,0.004742871277519842,0.021554380822669958,0.002688878423061837,0.025181429806100573,4.4032238601804385e-9
-3.455751918948773,-1.8101557670684048,-0.04384822065511239,0.0035589023884340758,0.023367045623611214,0.0028853525362479374,0.026784345928393353,4.831344642061697e-9
-3.455751918948773,-1.700449356943047,-0.0470504395916817,0.002041904143663159,0.024608660102930058,0.003144960162322472,0.027583074866310606,5.133266636411782e-9
-3.455751918948773,-1.590742946817689,-0.04842155014682081,0.00032162480360190514,0.025136796978922946,0.0034500631587977785,0.027453512084578587,5.272906909714603e-9
-3.455751918948773,-1.4810365366923313,-0.04777628298995205,-0.0014314686169368033,0.024888500141632512,0.0037697465085577914,0.026386293884179884,5.23289719542297e-9
-3.455751918948773,-1.3713301265669733,-0.045202407453517834,-0.0030401707448084797,0.023893540489464363,0.004065239094897772,0.024491046882544783,5.018477121712661e-9
-3.455751918948773,-1.2616237164416155,-0.04103966844870387,-0.004356587679398843,0.022268107247275674,0.00429867901984653,0.021973730213192454,4.656327438207208e-9
-3.455751918948773,-1.1519173063162575,-0.035800785119287484,-0.005289294606793543,0.020190896521183783,0.00444228857961159,0.01909407519389356,4.188721725376099e-9
-3.455751918948773,-1.0422108961908998,-0.03006093736837786,-0.005814267947995196,0.017868817511934976,0.004484836486330978,0.016116201418017135,3.664886160173464e-9
-3.455751918948773,-0.9325044860655419,-0.02434974739769623,-0.005968520072555763,0.015501940683678427,0.004433490399386826,0.013266176615326258,3.1321589002986094e-9
-3.455751918948773,-0.8227980759401841,-0.019073721785356122,-0.005831241172779822,0.013256196584031339,0.004311113645255775,0.010705918186667843,2.629218636210351e-9
-3.455751918948773,-0.7130916658148262,-0.0144820653064482,-0.005500294173319686,0.011248615680435317,0.004150732159108592,0.00852603430808654,2.182594727347109e-9
-3.455751918948773,-0.6033852556894683,-0.010672611779013068,-0.005071426119101947,0.009545431690053435,0.003989588555028262,0.00675417143734767,1.8064454610985936e-9
-3.455751918948773,-0.4936788455641104,-0.0076239305072560645,-0.004624624572735717,0.008169929227780457,0.0038648400310299777,0.005372249158154722,1.5047035202032932e-9
-3.455751918948773,-0.38397243543875254,-0.005236876182992797,-0.004218522262575774,0.007115426006060171,0.0038119921765794457,0.004335902204747831,1.274363000541845e-9
-3.455751918948773,-0.27426602531339467,-0.003372303009713657,-0.0038911573744604125,0.006359135288547317,0.003866169775716961,0.0035914412987610306,1.1088422428515154e-9
-3.455751918948773,-0.1645596151880368,-0.001877792618791122,-0.0036643094189923293,0.005874077096957302,0.0040656735869117,0.003088220233664421,1.0007630600952777e-9
-3.455751918948773,-0.054853205062678934,-0.0006019022048870021,-0.003548784543858671,0.005637797047772732,0.0044569942806387,0.002786363346569093,9.438991576196654e-10
-3.455751918948773,0.054853205062678934,0.0006019022337488778,-0.003548784544624267,0.005637797047479185,0.005100349401876349,0.0026609199799190017,9.34324799386349e-10
-3.455751918948773,0.1645596151880368,0.0018777926498858666,-0.0036643094213180453,0.0058740770960463064,0.006074610796708343,0.0027037345352047323,9.709039323381463e-10
-3.455751918948773,0.27426602531339467,0.0033723030454554472,-0.0038911573784259283,0.0063591352869266085,0.007480020866783414,0.0029239403280919393,1.0552395389787361e-9
-3.455751918948773,0.38397243543875254,0.0052368762261323035,-0.004218522268289358,0.007115426003572848,0.009436375923986107,0.003347300192734872,1.1911167998104877e-9
-3.455751918948773,0.4936788455641104,0.007623930560976198,-0.004624624580295557,0.00816992922420319,0.012073686176212432,0.004013866314826985,1.3833887186828764e-9
-3.455751918948773,0.6033852556894683,0.010672611846922017,-0.005071426128540673,0.009545431685100057,0.015512330091612635,0.004972843178553006,1.6362333363217907e-9
-3.455751918948773,0.7130916658148262,0.014482065392421709,-0.005500294184536387,0.011248615673771403,0.019831243117380524,0.006273391680585353,1.9508039385274234e-9
-3.455751918948773,0.8227980759401841,0.019073721893191824,-0.005831241185470702,0.013256196575305787,0.025026364055068577,0.007950729254732263,2.322519758110597e-9
-3.455751918948773,0.9325044860655419,0.024349747530578097,-0.005968520086162565,0.015501940672574856,0.030967178795099526,0.010008456921340931,2.738558220471976e-9
-3.455751918948773,1.0422108961908998,0.030060937528208428,-0.005814267961694432,0.017868817498240812,0.03736501776616659,0.01240037774496269,3.1763863830858163e-9
-3.455751918948773,1.1519173063162575,0.03580078530601394,-0.00528929461954643,0.02019089650486598,0.04376961241495375,0.015017352264546459,3.6042261224167316e-9
-3.455751918948773,1.2616237164416155,0.0410396686598172,-0.004356587690068223,0.02226810722854506,0.04960697745640198,0.017685663595048584,3.984033804249609e-9
-3.455751918948773,1.3713301265669733,0.04520240768390328,-0.0030401707523277774,0.02389354046880391,0.05426071195574179,0.020181729131116877,4.276871041347663e-9
-3.455751918948773,1.4810365366923313,0.047776283232208935,-0.0014314686204956564,0.024888500119773227,0.05718297909346898,0.02226353100245989,4.4496720405518e-9
-3.455751918948773,1.590742946817689,0.048421550392048644,0.0003216248044031802,0.025136796956762398,0.05800714942610308,0.023713092661295093,4.4817086916615345e-9
-3.455751918948773,1.700449356943047,0.04705043983059423,0.0020419041487337434,0.024608660081409214,0.056628697166561597,0.024379211922122966,4.368911007274212e-9
-3.455751918948773,1.8101557670684048,0.04384822087923831,0.0035589023972109664,0.023367045603579835,0.053228468068166335,0.024208072315299606,4.124725599269352e-9
-3.455751918948773,1.9198621771937627,0.039229045164694255,0.004742871289078938,0.021554380804775293,0.048230793977337566,0.02325250653651623,3.777254706932576e-9
-3.455751918948773,2.0295685873191207,0.03374172705178833,0.005526585424232461,0.019363839711389146,0.042210455058085426,0.021657543309077324,3.3635661166042663e-9
-3.455751918948773,2.1392749974444785,0.027956248844391178,0.005909760076082359,0.017003646015496497,0.03577790140358341,0.01962755043429268,2.9228559433880363e-9
-3.455751918948773,2.248981407569836,0.02236425697595489,0.005947350076544392,0.014664011528703917,0.029475431702232078,0.0173855503315753,2.4902868864251637e-9
-3.455751918948773,2.358687817695194,0.017316689900168374,0.005728048149366751,0.01249408052310147,0.02370829791647753,0.015136204772227841,2.0928463146524523e-9
