"kb1","kb2","en1","en2","en3","en4"
-0.5,-0.5,2.9458577516864413,2.9458577516864644,2.945857751734442,2.945857751734465
-0.5,-0.4841269841269842,2.932736656852744,2.932736656852767,2.959045210178968,2.959045210178968
-0.5,-0.46825396825396826,2.919716293396473,2.9197162933964917,2.972263719229116,2.9722637192291343
-0.5,-0.45238095238095233,2.9068299836575964,2.9068299836576155,2.9854771397368056,2.9854771397368247
-0.5,-0.4365079365079365,2.894109922396231,2.8941099223962534,2.9986486449533603,2.9986486449533825
-0.5,-0.4206349206349207,2.8815871115577307,2.881587111557755,3.0117408784130735,3.0117408784130735
-0.5,-0.40476190476190477,2.8692913105520272,2.869291310552047,3.024716130571335,3.0247161305713544
-0.5,-0.38888888888888884,2.8572510005552187,2.8572510005552387,3.037536532876537,3.037536532876537
-0.5,-0.373015873015873,2.84549336127644,2.845493361276459,3.0501642672005587,3.0501642672005778
-0.5,-0.3571428571428572,2.8340442586273316,2.8340442586273893,3.0625617877507976,3.0625617877508553
-0.5,-0.3412698412698413,2.822928241771626,2.822928241771626,3.074692051780734,3.074692051780734
-0.5,-0.32539682539682535,2.8121685481012797,2.8121685481012797,3.086518754656522,3.0865187546565434
-0.5,-0.30952380952380953,2.8017871147814306,2.8017871147814306,3.0980065641816896,3.0980065641817127
-0.5,-0.2936507936507937,2.7918045956104875,2.7918045956104875,3.109121348582692,3.1091213485827125
-0.5,-0.2777777777777778,2.782240382058885,2.782240382058901,3.1198303922816324,3.119830392281649
-0.5,-0.26190476190476186,2.77311262746617,2.77311262746617,3.1301025935719258,3.1301025935719258
-0.5,-0.24603174603174605,2.7644382734906108,2.7644382734906108,3.13990863860384,3.13990863860384
-0.5,-0.2301587301587302,2.756233078016523,2.756233078016523,3.14922114670229,3.1492211467023146
-0.5,-0.2142857142857143,2.7485116438279915,2.7485116438280137,3.1580147829658376,3.158014782965859
-0.5,-0.1984126984126984,2.741287447452071,2.7412874474521054,3.1662663353040394,3.1662663353040905
-0.5,-0.18253968253968256,2.734572867662073,2.734572867662089,3.1739547545049227,3.1739547545049227
