"time","(a)up","(a)dn","(b)up","(b)dn","(c)Rs","(c)Rc","(d)up","(d)dn","(e)up","(e)dn","(f)Rs","(f)Rc","(g)up","(g)dn","(h)up","(h)dn","(i)Rs","(i)Rc"
0.,4.082301179764621e-15,4.082301179764621e-15,4.082301179764621e-15,-4.082301179764621e-15,2.8743384631494384e-15,2.8743384631494384e-15,0.,0.,-2.409636780670541e-8,9.996302339761743e-8,9.395647700930398e-10,-1.4920324233768308e-10,0.,0.,-5.890087633244595e-10,2.405079039608745e-9,-3.8740900748753604e-8,-1.1063555953237657e-11
0.00008593880155165764,0.00007160264349253052,0.00007160264349253052,0.00007160264349253052,-0.00007160264349253052,0.000050415249436746375,0.000050415249436746375,0.0000630557320104305,0.0000720039261978023,0.0031769067149562806,-0.013091045719541042,0.00003698611925723124,0.000036821641077901544,1.3734082579563341e-6,0.00003121065524773394,-6.9002764863995694e-6,1.922362359954568e-6,-4.9550311628894635e-6,-5.1973074491068045e-6
0.00017187760310331528,0.00028036307333281356,0.00028036307333281356,0.00028036307333281356,-0.00028036307333281356,0.00019740296706225808,0.00019740296706225808,0.0002189224342933967,0.00023190923344735298,0.008636012369460353,-0.03542330202947836,0.0001318992919513663,0.00013155125114376056,0.000012782464188655987,0.00011406379824604692,-0.000030346903143004685,0.00006337447720752071,-0.00001174142344966305,-0.000012256527405282491
0.0002578164046549729,0.000629744304755362,0.000629744304755362,0.000629744304755362,-0.000629744304755362,0.0004434014535919191,0.0004434014535919191,0.0004658565228729986,0.0004735224737558999,0.00989282939518973,-0.03988126168668461,0.00028452885290551985,0.00028397755861714937,9.916514804610763e-6,0.00015738440963262122,-0.000038369643376348526,0.00003995027435352006,-0.00002241637376088087,-0.000023250041524348168
0.00034375520620663055,0.0011201893048442503,0.0011201893048442503,0.0011201893048442503,-0.0011201893048442503,0.0007887226010865051,0.0007887226010865051,0.0008379901464713133,0.0008523938663696659,0.00594865983143712,-0.022214922376710595,0.0005116952458082528,0.0005110403921515766,0.000012530443958641976,0.00018315736365680813,-0.000036101808495203415,0.000014008623683386708,-0.00002528203191190834,-0.000026426856127942144
0.0004296940077582882,0.001747424460662949,0.001747424460662949,0.001747424460662949,-0.001747424460662949,0.0012303573689340771,0.0012303573689340771,0.0013070621220349682,0.0013169406941228015,0.0017259028179973795,-0.003071758052139239,0.0008005483867956855,0.0007997113789526887,0.000027201677812266542,0.000259103359015368,-0.00006047867311385422,0.00010047555227395643,-0.000028102896650081697,-0.00002940635756524248
0.0005156328093099458,0.0025174442733879934,0.0025174442733879934,0.0025174442733879934,-0.0025174442733879934,0.0017725264710262304,0.0017725264710262304,0.0018674474566600632,0.001862107991734293,0.0024879137249071495,-0.004463665247552176,0.0011475259677802773,0.001146327320996469,0.000022518789293798353,0.00030871613298851446,-0.00008578798813861841,0.0001352825230072663,-0.0000414587918910331,-0.00004312354621240995
0.0006015716108616035,0.003424765991315352,0.003424765991315352,0.003424765991315352,-0.003424765991315352,0.0024113695150467605,0.0024113695150467605,0.00254666424269829,0.0025573450693243617,0.007907730340642995,-0.024986021856793536,0.0015614270359470181,0.0015602286646952195,0.00002354126084284237,0.0003328640123032172,-0.00008620519946869419,0.00011475191003149208,-0.00004529517419938449,-0.000047426546216259834
0.0006875104124132611,0.004471694878423969,0.004471694878423969,0.004471694878423969,-0.004471694878423969,0.00314850963183061,0.00314850963183061,0.0033218982670787964,0.0033449964138926626,0.011806907046653811,-0.03882141418101258,0.0020349658589400867,0.002033693112280226,0.00003989405669888531,0.0004056668845603189,-0.00009482281967902331,0.00014650120866560614,-0.0000461528278658612,-0.00004823799417700543
0.0007734492139649188,0.005659550607116114,0.005659550607116114,0.005659550607116114,-0.005659550607116114,0.003984875999548999,0.003984875999548999,0.004194355834373322,0.004196007976121051,0.009969949633280458,-0.028333525900229996,0.0025747312861505666,0.0025728474864427204,0.000034950528452538086,0.00046363362768291706,-0.00011013346403919108,0.0001301254735376043,-0.0000613319067547154,-0.00006373505776350178
0.0008593880155165764,0.006983492016753662,0.006983492016753662,0.006983492016753662,-0.006983492016753662,0.004917059968615414,0.004917059968615414,0.005185640601787334,0.005191774315585722,0.005562690195534263,-0.006773067152310233,0.003182440366010189,0.003180649624736139,0.0000342542728358456,0.0004871333618540086,-0.00011168830383491693,0.00010634839559735393,-0.00006643037407512869,-0.00006958533380313431
0.0009453268170682341,0.008449192812980197,0.008449192812980197,0.008449192812980197,-0.008449192812980197,0.005949056381556607,0.005949056381556607,0.006268843651921008,0.006290297965192182,0.004665196051416017,0.00040424736438013733,0.0038444731066398746,0.0038428576934500863,0.000051938095590934246,0.0005492667270230731,-0.00012798546088538232,0.0001877351788489254,-0.00006415506042299432,-0.00006705322788078848
0.0010312656186198916,0.010051882690051674,0.010051882690051674,0.010051882690051674,-0.010051882690051674,0.007077506477546928,0.007077506477546928,0.007450533233455705,0.00744714404948953,0.008893435285148084,-0.013505840897728631,0.00457472677406283,0.0045721635754869235,0.00004896699045858258,0.0006078261713346636,-0.00015561855073016902,0.0002316225231058111,-0.0000778573296146108,-0.00008091193146516037
0.0011172044201715494,0.011792704183135163,0.011792704183135163,0.011792704183135163,-0.011792704183135163,0.00830321471285543,0.00830321471285543,0.008751400746835591,0.008751123864091949,0.014021678697621234,-0.0308076725192171,0.005372747590318562,0.005370280187911071,0.00004674584895263722,0.0006379511923768519,-0.00016176873782272527,0.00021168484159743496,-0.00008546550850408413,-0.0000896977257665921
