"omega","sc_xx_re","sc_xx_im","cs_xx_re","cs_xx_im","sc_xy_re","sc_xy_im","cs_yx_re","cs_yx_im"
-2.,0.0015978260916132408,-0.016483134788727347,0.0015978260916132618,-0.016483134788727333,0.013584679734753757,0.0005560709686950035,-0.01358467973475376,-0.0005560709686950123
-1.975,0.001674232839260383,-0.016882460927616406,0.001674232839260399,-0.016882460927616423,0.013725703413657107,0.0006373798833671343,-0.013725703413657102,-0.0006373798833671316
-1.95,0.0017580827037990232,-0.017300551096570603,0.0017580827037990412,-0.017300551096570593,0.013886553220810876,0.0007250203387568201,-0.01388655322081088,-0.000725020338756828
-1.925,0.0018503574465585642,-0.017739163462336942,0.0018503574465585382,-0.017739163462336924,0.014068716669671346,0.0008199901278178871,-0.014068716669671338,-0.0008199901278178825
-1.9,0.0019522135102028827,-0.01820027398832228,0.0019522135102029243,-0.018200273988322264,0.014273902475586813,0.0009234579369467241,-0.014273902475586804,-0.0009234579369467236
-1.875,0.0020650203083895143,-0.018686111707656876,0.0020650203083895278,-0.01868611170765687,0.014504074928870214,0.0010368017164006042,-0.014504074928870197,-0.0010368017164005892
-1.85,0.0021904086482212267,-0.019199200687200428,0.0021904086482213256,-0.019199200687200435,0.014761494974705172,0.001161657157009105,-0.01476149497470515,-0.00116165715700915
-1.825,0.0023303324341586783,-0.019742410089470187,0.002330332434158686,-0.01974241008947014,0.0150487694007489,0.001299979422403328,-0.015048769400748903,-0.0012999794224033403
-1.8,0.002487147932972878,-0.020319014027757733,0.0024871479329728464,-0.020319014027757685,0.015368909821673809,0.0014541224165842462,-0.015368909821673793,-0.0014541224165842278
-1.775,0.0026637164727964895,-0.020932763231335205,0.002663716472796483,-0.020932763231335232,0.01572540347154646,0.0016269414598178381,-0.015725403471546474,-0.0016269414598178184
-1.75,0.0028635387180605976,-0.021587970868325784,0.0028635387180605877,-0.021587970868325784,0.01612229814556707,0.0018219275142602653,-0.016122298145567055,-0.0018219275142602467
-1.725,0.003090931927291216,-0.022289615154640795,0.0030909319272912003,-0.022289615154640806,0.016564303913400722,0.0020433843655784465,-0.016564303913400705,-0.0020433843655784383
-1.7,0.0033512663524985975,-0.02304346148087969,0.0033512663524985784,-0.023043461480879737,0.017056914329630284,0.002296664918252838,-0.017056914329630316,-0.0022966649182528083
